team_long_name,team_api_id,season,games,wins,goals_for,goals_against,win_rate
FC Barcelona,8634,2008/2009,38,27,105,35,71.0526315789474
FC Barcelona,8634,2009/2010,38,31,98,24,81.5789473684211
FC Barcelona,8634,2010/2011,38,30,95,21,78.9473684210526
FC Barcelona,8634,2011/2012,38,28,114,29,73.6842105263158
FC Barcelona,8634,2012/2013,38,32,115,40,84.2105263157895
FC Barcelona,8634,2013/2014,38,27,100,33,71.0526315789474
FC Barcelona,8634,2014/2015,38,30,110,21,78.9473684210526
FC Barcelona,8634,2015/2016,38,29,112,29,76.3157894736842
Juventus,9885,2008/2009,38,21,69,37,55.2631578947369
Juventus,9885,2009/2010,38,16,55,56,42.1052631578947
Juventus,9885,2010/2011,38,15,57,47,39.4736842105263
Juventus,9885,2011/2012,35,22,64,19,62.8571428571429
Juventus,9885,2012/2013,38,27,71,24,71.0526315789474
Juventus,9885,2013/2014,38,33,80,23,86.8421052631579
Juventus,9885,2014/2015,38,26,72,24,68.421052631579
Juventus,9885,2015/2016,38,29,75,20,76.3157894736842
